totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
297000;294;12232;11526;10519;2022-04-22T00:54:29.635;
298000;309;12589;11898;10406;2022-04-22T00:56:48.158;
299000;317;12608;11926;10266;2022-04-22T00:59:06.308;
300000;342;12633;11975;10106;2022-04-22T01:01:25.560;
301000;299;12462;11760;9666;2022-04-22T01:03:42.005;
302000;310;12292;11603;10299;2022-04-22T01:05:56.705;
303000;309;12424;11732;10763;2022-04-22T01:08:12.267;
304000;305;12365;11671;10275;2022-04-22T01:10:28.130;
305000;330;12923;12253;10590;2022-04-22T01:12:48.576;
306000;341;12888;12228;10427;2022-04-22T01:15:09.511;
307000;343;12882;12225;10027;2022-04-22T01:17:30.073;
308000;324;12833;12158;9660;2022-04-22T01:19:51.451;
309000;367;13179;12545;9178;2022-04-22T01:22:17.068;
310000;304;12561;11865;10540;2022-04-22T01:24:34.716;
311000;335;12734;12069;9668;2022-04-22T01:26:55.009;
312000;316;12414;11730;10528;2022-04-22T01:29:12.053;
313000;300;12567;11868;10550;2022-04-22T01:31:30.297;
314000;327;12444;11770;10103;2022-04-22T01:33:47.433;
315000;299;12775;12074;10262;2022-04-22T01:36:08.751;
316000;332;12603;11935;9626;2022-04-22T01:38:26.782;
317000;319;12343;11662;10717;2022-04-22T01:40:40.980;
318000;328;12257;11585;9702;2022-04-22T01:42:54.174;
319000;339;12756;12095;9923;2022-04-22T01:45:13.489;
320000;356;12961;12317;9491;2022-04-22T01:47:35.411;
321000;328;12563;11891;10300;2022-04-22T01:49:54.267;
322000;312;12575;11888;10131;2022-04-22T01:52:09.839;
323000;320;12571;11891;10531;2022-04-22T01:54:27.335;
324000;308;12419;11726;10742;2022-04-22T01:56:42.797;
325000;323;12940;12263;9532;2022-04-22T01:59:03.162;
326000;298;12271;11569;10713;2022-04-22T02:01:16.308;
327000;311;12636;11948;9689;2022-04-22T02:03:33.479;
328000;336;12669;12004;10157;2022-04-22T02:05:52;
329000;338;12652;11990;9683;2022-04-22T02:08:11.806;
330000;310;12430;11740;9844;2022-04-22T02:10:29.054;
331000;313;12579;11893;9738;2022-04-22T02:12:46.565;
332000;320;12531;11850;10342;2022-04-22T02:15:03.741;
333000;292;12534;11827;10751;2022-04-22T02:17:22.234;
334000;315;12672;11987;9871;2022-04-22T02:19:41.249;
335000;309;12152;11461;10249;2022-04-22T02:21:53.506;
336000;322;12863;12185;10338;2022-04-22T02:24:15.056;
337000;334;12315;11648;10279;2022-04-22T02:26:29.409;
338000;330;12478;11808;10219;2022-04-22T02:28:46.756;
339000;288;12610;11898;11399;2022-04-22T02:31:06.433;
340000;338;12753;12092;9813;2022-04-22T02:33:27.847;
341000;335;12854;12188;9528;2022-04-22T02:35:48.598;
342000;321;12504;11825;9739;2022-04-22T02:38:03.583;
343000;325;13146;12471;9928;2022-04-22T02:40:28.857;
344000;325;12670;11995;10093;2022-04-22T02:42:47.574;
345000;331;12440;11772;9535;2022-04-22T02:45:01.222;
346000;318;12378;11696;10878;2022-04-22T02:47:15.444;
347000;320;12692;12012;9935;2022-04-22T02:49:31.794;
348000;318;12676;11993;10403;2022-04-22T02:51:51.115;
349000;309;12592;11901;9886;2022-04-22T02:54:07.996;
350000;343;12864;12207;10126;2022-04-22T02:56:28.643;
351000;336;12708;12044;10066;2022-04-22T02:58:48.062;
352000;314;12581;11896;10373;2022-04-22T03:01:05.797;
353000;330;12563;11892;9829;2022-04-22T03:03:23.902;
354000;298;12391;11689;10744;2022-04-22T03:05:40.011;
355000;318;12854;12173;10089;2022-04-22T03:08:02.856;
356000;329;12272;11600;10231;2022-04-22T03:10:16.671;
357000;365;12804;12170;8732;2022-04-22T03:12:36.436;
358000;317;12468;11785;10445;2022-04-22T03:14:52.223;
359000;315;12489;11803;10163;2022-04-22T03:17:10.504;
360000;327;13068;12395;9475;2022-04-22T03:19:33.684;
361000;327;12571;11898;9485;2022-04-22T03:21:51.245;
362000;324;12339;11663;10476;2022-04-22T03:24:04.900;
363000;297;12704;12001;10666;2022-04-22T03:26:24.618;
364000;319;12514;11833;10194;2022-04-22T03:28:41.965;
365000;321;12354;11675;10850;2022-04-22T03:30:56.054;
366000;336;12638;11975;9247;2022-04-22T03:33:12.260;
367000;276;12526;11801;10997;2022-04-22T03:35:30.789;
368000;319;12409;11728;10468;2022-04-22T03:37:47.322;
369000;332;12781;12114;9882;2022-04-22T03:40:05.858;
370000;287;12409;11695;10048;2022-04-22T03:42:21.386;
371000;342;12826;12168;9761;2022-04-22T03:44:41.093;
372000;325;12517;11843;9808;2022-04-22T03:46:59.472;
373000;338;12697;12034;9757;2022-04-22T03:49:19.005;
374000;351;12874;12225;9442;2022-04-22T03:51:38.066;
375000;280;12161;11441;10102;2022-04-22T03:53:51.498;
376000;331;12931;12262;9750;2022-04-22T03:56:13.033;
377000;331;12746;12077;10422;2022-04-22T03:58:33.028;
378000;314;12266;11580;10381;2022-04-22T04:00:45.070;
379000;323;12509;11832;10022;2022-04-22T04:03:01.467;
380000;331;12433;11764;10921;2022-04-22T04:05:17.930;
381000;330;12765;12095;9865;2022-04-22T04:07:40.722;
382000;334;12719;12053;9872;2022-04-22T04:09:59.937;
383000;330;12728;12059;9649;2022-04-22T04:12:27.146;
384000;301;12846;12147;10030;2022-04-22T04:14:48.498;
385000;307;12477;11783;10590;2022-04-22T04:17:05.794;
386000;297;12864;12162;9855;2022-04-22T04:19:27.921;
387000;332;12819;12151;9698;2022-04-22T04:21:48.015;
388000;335;12699;12033;10165;2022-04-22T04:24:05.580;
389000;307;12701;12008;10298;2022-04-22T04:26:25.293;
